Date,Close
2000-06-05,316.91
2000-06-06,309.16
2000-06-07,316.61
2000-06-08,307.67
2000-06-09,305.28
2000-06-12,305.28
2000-06-13,311.54
2000-06-14,320.19
2000-06-15,309.46
2000-06-16,299.02
2000-06-19,306.77
2000-06-20,307.07
2000-06-21,298.13
2000-06-22,296.93
2000-06-23,295.15
2000-06-26,305.28
2000-06-27,304.98
2000-06-28,306.18
2000-06-29,298.72
2000-06-30,287.39
2000-07-03,297.83
2000-07-05,301.7
2000-07-06,304.69
2000-07-07,310.95
2000-07-10,311.24
2000-07-11,319.0
2000-07-12,319.0
2000-07-13,317.8
2000-07-14,324.36
2000-07-17,316.61
2000-07-18,318.1
2000-07-19,324.36
2000-07-20,336.58
2000-07-21,338.08
2000-07-24,337.48
2000-07-25,335.99
2000-07-26,332.11
2000-07-27,333.6
2000-07-28,327.64
2000-07-31,336.29
2000-08-01,336.29
2000-08-02,338.67
2000-08-03,341.06
2000-08-04,351.52
2000-08-07,352.41
2000-08-08,348.23
2000-08-09,347.33
2000-08-10,340.46
2000-08-11,346.44
2000-08-14,353.91
2000-08-15,353.61
2000-08-16,350.02
2000-08-17,357.5
2000-08-18,357.65
2000-08-21,367.66
2000-08-22,369.75
2000-08-23,360.48
2000-08-24,367.06
2000-08-25,363.17
2000-08-28,375.43
2000-08-29,369.85
2000-08-30,369.85
2000-08-31,372.34
2000-09-01,366.66
2000-09-05,367.06
2000-09-06,350.22
2000-09-07,349.13
2000-09-08,360.29
2000-09-11,361.88
2000-09-12,360.29
2000-09-13,355.5
2000-09-14,358.49
2000-09-15,351.12
2000-09-18,341.16
2000-09-19,345.94
2000-09-20,339.16
2000-09-21,328.4
2000-09-22,336.37
2000-09-25,345.14
2000-09-26,341.16
2000-09-27,326.01
2000-09-28,340.76
2000-09-29,344.74
2000-10-02,353.11
2000-10-03,362.68
2000-10-04,349.13
2000-10-05,357.89
2000-10-06,341.16
2000-10-09,335.58
2000-10-10,325.21
2000-10-11,315.65
2000-10-12,298.11
2000-10-13,317.64
2000-10-16,324.02
2000-10-17,314.85
2000-10-18,316.05
2000-10-19,327.21
2000-10-20,324.81
2000-10-23,321.63
2000-10-24,329.6
2000-10-25,322.82
2000-10-26,312.46
2000-10-27,320.43
2000-10-30,328.8
2000-10-31,335.58
2000-11-01,329.6
2000-11-02,339.28
2000-11-03,344.88
2000-11-06,350.87
2000-11-07,350.07
2000-11-08,339.28
2000-11-09,336.89
2000-11-10,329.29
2000-11-13,322.9
2000-11-14,324.5
2000-11-15,320.9
2000-11-16,330.49
2000-11-17,326.8
2000-11-20,315.71
2000-11-21,314.11
2000-11-22,300.92
2000-11-24,302.52
2000-11-27,303.32
2000-11-28,304.52
2000-11-29,316.11
2000-11-30,318.5
2000-12-01,312.91
2000-12-04,305.72
2000-12-05,324.5
2000-12-06,318.1
2000-12-07,318.1
2000-12-08,329.29
2000-12-11,338.09
2000-12-12,336.49
2000-12-13,338.88
2000-12-14,324.5
2000-12-15,307.31
2000-12-18,315.71
2000-12-19,321.3
2000-12-20,306.91
2000-12-21,311.71
2000-12-22,320.1
2000-12-26,325.7
2000-12-27,325.3
2000-12-28,327.7
2000-12-29,326.5
2001-01-02,322.9
2001-01-03,351.27
2001-01-04,356.07
2001-01-05,343.28
2001-01-08,341.28
2001-01-09,333.69
2001-01-10,344.88
2001-01-11,351.67
2001-01-12,339.68
2001-01-16,349.67
2001-01-17,344.08
2001-01-18,346.88
