Date,Close
2000-06-05,18.88
2000-06-06,19.39
2000-06-07,19.28
2000-06-08,19.32
2000-06-09,19.2
2000-06-12,19.39
2000-06-13,19.15
2000-06-14,19.47
2000-06-15,19.44
2000-06-16,19.36
2000-06-19,19.07
2000-06-20,18.84
2000-06-21,19.05
2000-06-22,18.7
2000-06-23,18.73
2000-06-26,18.52
2000-06-27,18.46
2000-06-28,18.28
2000-06-29,18.09
2000-06-30,17.7
2000-07-03,17.94
2000-07-05,17.22
2000-07-06,17.44
2000-07-07,17.52
2000-07-10,17.53
2000-07-11,18.16
2000-07-12,17.88
2000-07-13,17.52
2000-07-14,17.48
2000-07-17,17.26
2000-07-18,17.0
2000-07-19,17.1
2000-07-20,16.7
2000-07-21,16.39
2000-07-24,16.15
2000-07-25,16.14
2000-07-26,16.14
2000-07-27,16.9
2000-07-28,16.82
2000-07-31,16.49
2000-08-01,16.46
2000-08-02,16.66
2000-08-03,16.7
2000-08-04,16.56
2000-08-07,16.85
2000-08-08,16.77
2000-08-09,17.24
2000-08-10,17.51
2000-08-11,17.53
2000-08-14,17.61
2000-08-15,17.43
2000-08-16,18.12
2000-08-17,18.49
2000-08-18,18.24
2000-08-21,18.4
2000-08-22,18.37
2000-08-23,18.85
2000-08-24,18.28
2000-08-25,18.42
2000-08-28,18.43
2000-08-29,18.24
2000-08-30,18.05
2000-08-31,17.92
2000-09-01,18.12
2000-09-05,18.22
2000-09-06,18.69
2000-09-07,18.73
2000-09-08,18.38
2000-09-11,18.94
2000-09-12,18.78
2000-09-13,18.79
2000-09-14,18.57
2000-09-15,19.12
2000-09-18,19.08
2000-09-19,18.67
2000-09-20,18.45
2000-09-21,18.09
2000-09-22,17.87
2000-09-25,17.56
2000-09-26,17.67
2000-09-27,18.12
2000-09-28,17.84
2000-09-29,18.08
2000-10-02,18.38
2000-10-03,18.42
2000-10-04,17.98
2000-10-05,18.13
2000-10-06,17.89
2000-10-09,18.24
2000-10-10,18.49
2000-10-11,18.37
2000-10-12,18.51
2000-10-13,17.87
2000-10-16,17.39
2000-10-17,17.57
2000-10-18,17.49
2000-10-19,17.45
2000-10-20,17.69
2000-10-23,17.51
2000-10-24,17.44
2000-10-25,17.28
2000-10-26,17.39
2000-10-27,17.03
2000-10-30,17.31
2000-10-31,17.41
2000-11-01,17.56
2000-11-02,17.07
2000-11-03,17.19
2000-11-06,17.51
2000-11-07,17.4
2000-11-08,17.6
2000-11-09,17.68
2000-11-10,17.84
2000-11-13,17.63
2000-11-14,17.87
2000-11-15,18.08
2000-11-16,18.06
2000-11-17,18.04
2000-11-20,18.02
2000-11-21,18.31
2000-11-22,18.27
2000-11-24,18.16
2000-11-27,18.28
2000-11-28,18.48
2000-11-29,17.69
2000-11-30,17.63
2000-12-01,17.79
2000-12-04,17.88
2000-12-05,17.62
2000-12-06,17.34
2000-12-07,17.38
2000-12-08,17.51
2000-12-11,17.55
2000-12-12,17.62
2000-12-13,17.71
2000-12-14,17.03
2000-12-15,16.85
2000-12-18,17.39
2000-12-19,17.46
2000-12-20,16.89
2000-12-21,16.88
2000-12-22,17.36
2000-12-26,17.84
2000-12-27,17.89
2000-12-28,18.47
2000-12-29,18.19
2001-01-02,18.51
2001-01-03,17.79
2001-01-04,17.42
2001-01-05,17.55
2001-01-08,17.51
2001-01-09,17.28
2001-01-10,17.26
2001-01-11,17.54
2001-01-12,17.43
2001-01-16,17.45
2001-01-17,17.28
2001-01-18,17.11
2001-01-19,17.08
2001-01-22,17.15
2001-01-23,17.14
2001-01-24,17.2
2001-01-25,17.92
2001-01-26,17.79
2001-01-29,17.55
2001-01-30,17.63
2001-01-31,17.94
2001-02-01,17.93
2001-02-02,17.75
2001-02-05,17.78
2001-02-06,18.24
2001-02-07,17.95
2001-02-08,18.15
2001-02-09,18.5
2001-02-12,18.64
2001-02-13,18.52
2001-02-14,18.77
2001-02-15,18.67
2001-02-16,18.93
2001-02-20,18.92
2001-02-21,18.79
2001-02-22,18.82
2001-02-23,18.47
2001-02-26,18.49
2001-02-27,18.74
2001-02-28,18.73
2001-03-01,18.99
2001-03-02,19.34
2001-03-05,19.76
2001-03-06,19.78
2001-03-07,19.98
2001-03-08,20.33
2001-03-09,20.29
2001-03-12,20.14
2001-03-13,19.82
2001-03-14,19.58
2001-03-15,19.4
2001-03-16,19.13
2001-03-19,19.48
2001-03-20,19.82
2001-03-21,19.61
2001-03-22,19.13
2001-03-23,18.96
2001-03-26,18.9
2001-03-27,19.21
2001-03-28,18.94
2001-03-29,18.9
2001-03-30,19.2
2001-04-02,19.0
2001-04-03,18.81
2001-04-04,19.18
2001-04-05,19.61
2001-04-06,19.51
2001-04-09,20.01
2001-04-10,20.29
2001-04-11,19.86
2001-04-12,20.07
2001-04-16,20.51
2001-04-17,20.39
2001-04-18,20.44
2001-04-19,20.28
2001-04-20,20.39
2001-04-23,20.71
2001-04-24,20.62
2001-04-25,20.84
2001-04-26,21.4
2001-04-27,21.32
2001-04-30,21.12
2001-05-01,21.09
2001-05-02,20.12
2001-05-03,20.05
2001-05-04,20.41
2001-05-07,20.6
2001-05-08,20.51
2001-05-09,20.87
2001-05-10,20.82
2001-05-11,20.56
2001-05-14,20.64
2001-05-15,20.86
2001-05-16,21.12
2001-05-17,21.21
2001-05-18,21.63
2001-05-21,21.54
2001-05-22,21.08
2001-05-23,20.88
2001-05-24,20.91
2001-05-25,20.88
2001-05-29,21.18
2001-05-30,21.25
2001-05-31,21.29
2001-06-01,21.37
2001-06-04,21.73
2001-06-05,21.66
2001-06-06,21.32
2001-06-07,21.29
2001-06-08,21.38
2001-06-11,21.62
2001-06-12,21.64
2001-06-13,21.54
2001-06-14,21.21
2001-06-15,21.44
2001-06-18,21.22
2001-06-19,21.17
2001-06-20,20.94
2001-06-21,20.72
2001-06-22,21.0
2001-06-25,21.05
2001-06-26,20.99
2001-06-27,20.26
2001-06-28,19.67
2001-06-29,20.06
2001-07-02,20.02
2001-07-03,20.04
2001-07-05,20.25
2001-07-06,20.17
2001-07-09,19.96
2001-07-10,19.82
2001-07-11,19.44
2001-07-12,19.74
2001-07-13,19.82
2001-07-16,19.43
2001-07-17,19.25
2001-07-18,19.24
2001-07-19,19.32
2001-07-20,19.72
2001-07-23,19.43
2001-07-24,18.88
2001-07-25,19.77
2001-07-26,19.96
2001-07-27,20.2
2001-07-30,20.29
2001-07-31,20.26
2001-08-01,20.21
2001-08-02,20.19
2001-08-03,20.1
2001-08-06,20.04
2001-08-07,20.2
2001-08-08,19.95
2001-08-09,20.08
2001-08-10,20.34
2001-08-13,20.33
2001-08-14,20.45
2001-08-15,20.91
2001-08-16,20.92
2001-08-17,20.69
2001-08-20,20.54
2001-08-21,20.34
2001-08-22,20.68
2001-08-23,20.75
2001-08-24,20.87
2001-08-27,20.71
2001-08-28,20.49
2001-08-29,20.63
2001-08-30,20.34
2001-08-31,20.41
2001-09-04,20.54
2001-09-05,20.55
2001-09-06,20.63
2001-09-07,20.78
2001-09-10,20.62
2001-09-17,20.29
2001-09-18,19.73
2001-09-19,19.09
2001-09-20,18.82
2001-09-21,18.89
2001-09-24,18.24
2001-09-25,17.92
2001-09-26,17.71
2001-09-27,18.78
2001-09-28,19.06
2001-10-01,18.82
2001-10-02,19.23
2001-10-03,19.21
2001-10-04,19.59
2001-10-05,19.89
2001-10-08,20.0
2001-10-09,20.44
2001-10-10,21.01
2001-10-11,20.98
2001-10-12,20.46
2001-10-15,19.89
2001-10-16,20.05
2001-10-17,20.04
2001-10-18,19.35
2001-10-19,19.5
2001-10-22,19.96
2001-10-23,19.47
2001-10-24,19.54
2001-10-25,19.77
2001-10-26,20.0
2001-10-29,20.02
2001-10-30,20.01
2001-10-31,19.91
2001-11-01,20.21
2001-11-02,19.66
2001-11-05,19.59
2001-11-06,19.52
2001-11-07,19.63
2001-11-08,19.7
2001-11-09,20.12
2001-11-12,20.06
2001-11-13,20.28
2001-11-14,19.79
2001-11-15,19.14
2001-11-16,19.06
2001-11-19,18.94
2001-11-20,19.76
2001-11-21,19.66
2001-11-23,19.78
2001-11-26,19.46
2001-11-27,19.56
2001-11-28,19.31
2001-11-29,19.52
2001-11-30,19.42
2001-12-03,19.75
2001-12-04,19.83
2001-12-05,19.99
2001-12-06,19.64
2001-12-07,19.92
2001-12-10,19.67
2001-12-11,19.44
2001-12-12,19.55
2001-12-13,19.24
2001-12-14,19.19
2001-12-17,19.56
2001-12-18,19.7
2001-12-19,19.99
2001-12-20,19.96
2001-12-21,20.24
2001-12-24,20.23
2001-12-26,20.37
2001-12-27,20.63
2001-12-28,20.66
2001-12-31,20.47
2002-01-02,20.44
2002-01-03,20.44
2002-01-04,20.4
2002-01-07,20.49
2002-01-08,20.57
2002-01-09,20.35
2002-01-10,20.32
2002-01-11,19.97
2002-01-14,19.96
2002-01-15,20.37
2002-01-16,19.98
2002-01-17,19.96
2002-01-18,19.83
2002-01-22,19.81
2002-01-23,20.04
2002-01-24,20.12
2002-01-25,20.23
2002-01-28,20.3
2002-01-29,19.45
2002-01-30,18.98
2002-01-31,19.14
2002-02-01,19.5
2002-02-04,19.17
2002-02-05,18.81
2002-02-06,19.0
2002-02-07,18.67
2002-02-08,18.7
2002-02-11,18.95
2002-02-12,18.82
2002-02-13,19.16
2002-02-14,19.17
2002-02-15,19.13
2002-02-19,18.97
2002-02-20,19.0
2002-02-21,19.08
2002-02-22,19.45
2002-02-25,19.5
2002-02-26,19.56
2002-02-27,19.75
2002-02-28,19.62
2002-03-01,19.87
2002-03-04,20.02
2002-03-05,20.04
2002-03-06,20.42
2002-03-07,20.59
2002-03-08,20.37
2002-03-11,20.7
2002-03-12,20.82
2002-03-13,20.78
2002-03-14,20.8
2002-03-15,20.87
2002-03-18,21.0
2002-03-19,21.08
2002-03-20,20.87
2002-03-21,21.0
2002-03-22,20.71
2002-03-25,20.54
2002-03-26,20.68
2002-03-27,21.03
2002-03-28,20.98
2002-04-01,20.84
2002-04-02,21.11
2002-04-03,20.91
2002-04-04,20.4
2002-04-05,20.25
2002-04-08,20.54
2002-04-09,20.28
2002-04-10,20.35
2002-04-11,20.09
2002-04-12,19.54
2002-04-15,19.82
2002-04-16,20.12
2002-04-17,20.21
2002-04-18,20.33
2002-04-19,20.45
2002-04-22,20.13
2002-04-23,20.21
2002-04-24,19.75
2002-04-25,19.96
2002-04-26,19.66
2002-04-29,19.95
2002-04-30,20.15
2002-05-01,20.45
2002-05-02,20.65
2002-05-03,20.8
2002-05-06,20.22
2002-05-07,20.37
2002-05-08,20.69
2002-05-09,20.51
2002-05-10,20.44
2002-05-13,20.94
2002-05-14,20.89
2002-05-15,20.78
2002-05-16,21.01
2002-05-17,21.04
2002-05-20,20.95
2002-05-21,20.73
2002-05-22,21.01
2002-05-23,21.15
2002-05-24,21.03
2002-05-28,20.79
2002-05-29,20.75
2002-05-30,20.49
2002-05-31,20.59
2002-06-03,20.42
2002-06-04,20.49
2002-06-05,20.57
2002-06-06,20.29
2002-06-07,20.59
2002-06-10,20.38
2002-06-11,20.39
2002-06-12,20.48
2002-06-13,20.51
2002-06-14,20.48
2002-06-17,20.94
2002-06-18,20.87
2002-06-19,20.44
2002-06-20,20.61
2002-06-21,20.69
2002-06-24,20.59
2002-06-25,20.3
2002-06-26,20.36
2002-06-27,20.68
2002-06-28,20.89
2002-07-01,20.91
2002-07-02,20.72
2002-07-03,20.46
2002-07-05,20.75
2002-07-08,20.79
2002-07-09,20.52
2002-07-10,20.03
2002-07-11,19.51
2002-07-12,19.54
2002-07-15,19.06
2002-07-16,18.74
2002-07-17,18.95
2002-07-18,18.58
2002-07-19,17.58
2002-07-22,16.41
2002-07-23,15.81
2002-07-24,16.66
2002-07-25,16.45
2002-07-26,16.71
2002-07-29,17.56
2002-07-30,17.23
2002-07-31,17.7
2002-08-01,16.65
2002-08-02,16.71
2002-08-05,16.06
2002-08-06,16.66
2002-08-07,16.98
2002-08-08,17.6
2002-08-09,17.83
2002-08-12,17.71
2002-08-13,17.77
2002-08-14,18.27
2002-08-15,18.71
2002-08-16,18.49
2002-08-19,18.48
2002-08-20,18.11
2002-08-21,18.47
2002-08-22,18.92
2002-08-23,18.85
2002-08-26,19.01
2002-08-27,18.77
2002-08-28,18.51
2002-08-29,18.29
2002-08-30,18.42
2002-09-03,17.4
2002-09-04,17.66
2002-09-05,17.59
2002-09-06,17.96
2002-09-09,17.79
2002-09-10,18.12
2002-09-11,17.88
2002-09-12,17.58
2002-09-13,17.59
2002-09-16,17.79
2002-09-17,17.16
2002-09-18,17.13
2002-09-19,16.81
2002-09-20,16.96
2002-09-23,16.75
2002-09-24,16.51
2002-09-25,16.87
2002-09-26,17.6
2002-09-27,17.06
2002-09-30,16.65
2002-10-01,17.33
2002-10-02,17.21
2002-10-03,17.39
2002-10-04,17.04
2002-10-07,16.95
2002-10-08,16.73
2002-10-09,16.45
2002-10-10,17.14
2002-10-11,17.3
2002-10-14,17.46
2002-10-15,17.87
2002-10-16,17.69
2002-10-17,17.86
2002-10-18,18.0
2002-10-21,17.89
2002-10-22,17.25
2002-10-23,17.55
2002-10-24,17.63
2002-10-25,17.6
2002-10-28,17.69
2002-10-29,16.86
2002-10-30,17.16
2002-10-31,16.26
2002-11-01,16.55
2002-11-04,16.33
2002-11-05,16.66
2002-11-06,16.63
2002-11-07,16.23
2002-11-08,16.23
2002-11-11,16.15
2002-11-12,16.15
2002-11-13,15.99
2002-11-14,16.5
2002-11-15,16.59
2002-11-18,16.65
2002-11-19,16.58
2002-11-20,16.71
2002-11-21,16.6
2002-11-22,16.31
2002-11-25,16.64
2002-11-26,16.28
2002-11-27,16.42
2002-11-29,16.46
2002-12-02,16.37
2002-12-03,16.49
2002-12-04,16.65
2002-12-05,16.69
2002-12-06,16.78
2002-12-09,16.53
2002-12-10,16.81
2002-12-11,16.66
2002-12-12,16.67
2002-12-13,16.61
2002-12-16,16.81
2002-12-17,16.67
2002-12-18,16.56
2002-12-19,16.27
2002-12-20,16.37
2002-12-23,16.4
2002-12-24,16.37
2002-12-26,16.43
2002-12-27,16.18
2002-12-30,16.37
2002-12-31,16.32
2003-01-02,16.65
2003-01-03,16.78
