Date,Close
2000-06-05,33.07
2000-06-06,32.58
2000-06-07,32.47
2000-06-08,31.91
2000-06-09,32.08
2000-06-12,31.83
2000-06-13,32.25
2000-06-14,32.85
2000-06-15,32.19
2000-06-16,31.58
2000-06-19,31.31
2000-06-20,31.03
2000-06-21,30.42
2000-06-22,30.64
2000-06-23,29.98
2000-06-26,30.09
2000-06-27,32.69
2000-06-28,34.45
2000-06-29,34.4
2000-06-30,33.57
2000-07-03,35.17
2000-07-05,36.11
2000-07-06,35.28
2000-07-07,34.73
2000-07-10,35.56
2000-07-11,35.34
2000-07-12,36.22
2000-07-13,36.94
2000-07-14,37.49
2000-07-17,36.17
2000-07-18,36.17
2000-07-19,35.34
2000-07-20,35.12
2000-07-21,35.39
2000-07-24,35.06
2000-07-25,34.95
2000-07-26,34.34
2000-07-27,34.34
2000-07-28,34.56
2000-07-31,35.01
2000-08-01,35.23
2000-08-02,35.67
2000-08-03,34.95
2000-08-04,34.73
2000-08-07,34.79
2000-08-08,34.68
2000-08-09,34.01
2000-08-10,36.06
2000-08-11,36.72
2000-08-14,36.33
2000-08-15,36.28
2000-08-16,36.0
2000-08-17,35.72
2000-08-18,35.34
2000-08-21,35.23
2000-08-22,35.94
2000-08-23,34.84
2000-08-24,35.17
2000-08-25,36.44
2000-08-28,35.96
2000-08-29,35.81
2000-08-30,35.01
2000-08-31,35.65
2000-09-01,34.94
2000-09-05,34.85
2000-09-06,35.58
2000-09-07,35.18
2000-09-08,34.68
2000-09-11,34.2
2000-09-12,34.77
2000-09-13,35.97
2000-09-14,35.66
2000-09-15,34.63
2000-09-18,34.11
2000-09-19,34.74
2000-09-20,34.5
2000-09-21,35.57
2000-09-22,35.82
2000-09-25,36.0
2000-09-26,37.33
2000-09-27,37.81
2000-09-28,39.75
2000-09-29,39.17
2000-10-02,38.39
2000-10-03,38.92
2000-10-04,39.75
2000-10-05,39.0
2000-10-06,37.77
2000-10-09,36.93
2000-10-10,38.3
2000-10-11,37.65
2000-10-12,35.74
2000-10-13,35.9
2000-10-16,36.31
2000-10-17,35.53
2000-10-18,34.79
2000-10-19,37.37
2000-10-20,37.7
2000-10-23,36.56
2000-10-24,37.57
2000-10-25,36.97
2000-10-26,37.37
2000-10-27,38.04
2000-10-30,41.51
2000-10-31,41.4
2000-11-01,40.64
