Date,Close
2010-11-18,26.16
2010-11-19,26.21
2010-11-22,26.07
2010-11-23,25.44
2010-11-24,25.61
2010-11-26,25.86
2010-11-29,25.86
2010-11-30,26.16
2010-12-01,26.61
2010-12-02,26.53
2010-12-03,26.43
2010-12-06,26.38
2010-12-07,26.53
2010-12-08,26.35
2010-12-09,25.81
2010-12-10,25.86
2010-12-13,25.86
2010-12-14,25.93
2010-12-15,25.71
2010-12-16,25.71
2010-12-17,26.01
2010-12-20,25.83
2010-12-21,25.9
2010-12-22,26.71
2010-12-23,26.63
2010-12-27,26.47
2010-12-28,27.02
2010-12-29,27.56
2010-12-30,28.17
2010-12-31,28.2
2011-01-03,28.35
2011-01-04,28.99
2011-01-05,29.12
2011-01-06,29.76
2011-01-07,29.82
2011-01-10,29.5
2011-01-11,29.64
2011-01-12,29.54
2011-01-13,29.28
2011-01-14,29.22
2011-01-18,29.09
2011-01-19,28.61
2011-01-20,28.44
2011-01-21,28.49
2011-01-24,28.79
2011-01-25,29.38
2011-01-26,28.99
2011-01-27,29.58
2011-01-28,28.0
2011-01-31,27.92
2011-02-01,27.88
2011-02-02,27.3
2011-02-03,27.59
2011-02-04,27.99
2011-02-07,28.08
2011-02-08,28.22
2011-02-09,27.85
2011-02-10,27.45
2011-02-11,27.88
2011-02-14,27.76
2011-02-15,27.62
2011-02-16,28.11
2011-02-17,27.82
2011-02-18,27.93
2011-02-22,27.36
2011-02-23,26.46
2011-02-24,25.26
2011-02-25,25.44
2011-02-28,25.65
2011-03-01,25.21
2011-03-02,25.15
2011-03-03,25.27
2011-03-04,24.78
2011-03-07,24.25
2011-03-08,25.03
2011-03-09,24.67
2011-03-10,24.04
2011-03-11,24.43
2011-03-14,24.17
2011-03-15,24.75
2011-03-16,24.31
2011-03-17,24.05
2011-03-18,24.37
2011-03-21,23.93
2011-03-22,23.52
2011-03-23,23.84
2011-03-24,24.01
2011-03-25,24.07
2011-03-28,23.6
2011-03-29,23.79
2011-03-30,24.14
2011-03-31,23.74
2011-04-01,24.79
2011-04-04,24.78
2011-04-05,25.15
2011-04-06,25.15
2011-04-07,24.72
2011-04-08,24.11
2011-04-11,23.54
2011-04-12,23.83
2011-04-13,23.61
2011-04-14,23.39
2011-04-15,23.13
2011-04-18,22.93
2011-04-19,22.64
2011-04-20,22.9
2011-04-21,23.68
2011-04-25,23.82
2011-04-26,23.92
2011-04-27,24.31
2011-04-28,24.41
2011-04-29,24.55
2011-05-02,24.62
2011-05-03,25.24
2011-05-04,25.28
2011-05-05,24.5
2011-05-06,24.41
2011-05-09,24.01
2011-05-10,24.18
2011-05-11,23.94
2011-05-12,24.04
2011-05-13,23.77
2011-05-16,23.79
2011-05-17,23.79
2011-05-18,24.11
2011-05-19,24.07
2011-05-20,23.85
2011-05-23,23.68
2011-05-24,23.59
2011-05-25,23.92
2011-05-26,23.47
2011-05-27,23.93
2011-05-31,24.33
2011-06-01,23.13
2011-06-02,22.64
2011-06-03,22.28
2011-06-06,21.85
2011-06-07,22.02
2011-06-08,22.08
2011-06-09,22.53
2011-06-10,22.07
2011-06-13,21.87
2011-06-14,22.27
2011-06-15,22.15
2011-06-16,21.87
2011-06-17,22.19
2011-06-20,22.58
2011-06-21,22.64
2011-06-22,22.93
2011-06-23,23.06
2011-06-24,22.89
2011-06-27,23.15
2011-06-28,23.33
2011-06-29,23.18
2011-06-30,23.23
2011-07-01,23.39
2011-07-05,23.61
2011-07-06,23.86
2011-07-07,24.33
2011-07-08,24.16
2011-07-11,23.52
2011-07-12,23.47
2011-07-13,23.52
2011-07-14,23.03
2011-07-15,22.77
2011-07-18,22.26
2011-07-19,22.44
2011-07-20,22.37
2011-07-21,22.92
2011-07-22,23.03
2011-07-25,22.57
2011-07-26,22.25
2011-07-27,21.53
2011-07-28,21.5
2011-07-29,21.18
2011-08-01,21.47
2011-08-02,20.69
2011-08-03,20.79
2011-08-04,19.88
2011-08-05,20.13
2011-08-08,18.8
2011-08-09,19.54
2011-08-10,18.3
2011-08-11,19.74
2011-08-12,19.7
2011-08-15,20.21
2011-08-16,19.76
2011-08-17,19.08
2011-08-18,18.05
2011-08-19,16.95
2011-08-22,16.61
2011-08-23,16.88
2011-08-24,17.11
2011-08-25,17.06
2011-08-26,17.5
2011-08-29,18.2
2011-08-30,18.04
2011-08-31,18.38
2011-09-01,17.62
2011-09-02,16.88
2011-09-06,16.4
2011-09-07,17.49
2011-09-08,17.2
2011-09-09,16.65
2011-09-12,16.73
2011-09-13,16.83
2011-09-14,16.97
2011-09-15,17.37
2011-09-16,17.3
2011-09-19,17.63
2011-09-20,17.16
2011-09-21,16.28
2011-09-22,15.48
2011-09-23,16.07
2011-09-26,16.13
2011-09-27,16.21
2011-09-28,15.61
2011-09-29,15.88
2011-09-30,15.44
2011-10-03,15.09
2011-10-04,16.39
2011-10-05,17.04
2011-10-06,17.1
2011-10-07,16.84
2011-10-10,17.3
2011-10-11,17.21
2011-10-12,17.91
2011-10-13,17.71
2011-10-14,18.48
2011-10-17,17.73
2011-10-18,18.01
2011-10-19,17.66
2011-10-20,17.56
2011-10-21,18.63
2011-10-24,19.11
2011-10-25,19.02
2011-10-26,19.12
2011-10-27,20.13
2011-10-28,20.23
