Date,Close
2000-06-05,71.79
2000-06-06,71.52
2000-06-07,77.0
2000-06-08,76.21
2000-06-09,76.17
2000-06-12,75.63
2000-06-13,75.93
2000-06-14,73.82
2000-06-15,74.34
2000-06-16,72.07
2000-06-19,76.61
2000-06-20,74.06
2000-06-21,72.87
2000-06-22,71.16
2000-06-23,71.2
2000-06-26,72.81
2000-06-27,69.85
2000-06-28,72.41
2000-06-29,72.55
2000-06-30,69.73
2000-07-03,69.69
2000-07-05,66.82
2000-07-06,64.44
2000-07-07,66.86
2000-07-10,65.75
2000-07-11,64.91
2000-07-12,66.58
2000-07-13,66.19
2000-07-14,66.15
2000-07-17,67.14
2000-07-18,65.75
2000-07-19,69.21
2000-07-20,74.62
2000-07-21,73.03
2000-07-24,71.6
2000-07-25,71.28
2000-07-26,69.92
2000-07-27,70.2
2000-07-28,71.16
2000-07-31,71.44
2000-08-01,70.32
2000-08-02,72.71
2000-08-03,73.82
2000-08-04,73.74
2000-08-07,74.02
2000-08-08,75.74
2000-08-09,75.66
2000-08-10,76.29
2000-08-11,76.85
2000-08-14,78.52
2000-08-15,77.73
2000-08-16,77.97
2000-08-17,78.05
2000-08-18,76.73
2000-08-21,77.37
2000-08-22,77.33
2000-08-23,78.52
2000-08-24,79.52
2000-08-25,82.19
2000-08-28,83.78
2000-08-29,84.66
2000-08-30,83.02
2000-08-31,84.11
2000-09-01,85.13
2000-09-05,83.58
2000-09-06,83.74
2000-09-07,84.98
2000-09-08,82.51
2000-09-11,79.32
2000-09-12,79.64
2000-09-13,81.35
2000-09-14,80.83
2000-09-15,79.64
2000-09-18,78.52
2000-09-19,79.6
2000-09-20,79.48
2000-09-21,77.41
2000-09-22,78.92
2000-09-25,78.37
2000-09-26,75.9
2000-09-27,75.18
2000-09-28,73.43
2000-09-29,71.76
2000-10-02,75.06
2000-10-03,70.44
2000-10-04,72.87
2000-10-05,72.11
2000-10-06,73.91
2000-10-09,75.14
2000-10-10,73.19
2000-10-11,71.36
2000-10-12,65.7
2000-10-13,69.49
2000-10-16,70.8
2000-10-17,71.99
2000-10-18,60.8
2000-10-19,61.44
2000-10-20,60.37
2000-10-23,59.17
2000-10-24,58.26
2000-10-25,55.79
2000-10-26,59.09
2000-10-27,59.69
2000-10-30,59.45
2000-10-31,62.76
2000-11-01,62.8
2000-11-02,64.95
2000-11-03,63.79
2000-11-06,63.91
2000-11-07,65.19
2000-11-08,63.79
2000-11-09,63.43
2000-11-10,59.33
2000-11-13,62.16
2000-11-14,63.47
2000-11-15,63.39
2000-11-16,62.68
2000-11-17,65.03
2000-11-20,65.87
2000-11-21,62.84
2000-11-22,62.84
2000-11-24,63.75
2000-11-27,62.8
2000-11-28,62.44
2000-11-29,63.67
2000-11-30,59.65
2000-12-01,61.0
2000-12-04,62.76
2000-12-05,65.95
2000-12-06,61.72
2000-12-07,59.41
2000-12-08,61.88
