Date,Close
2000-06-05,41.97
2000-06-06,41.03
2000-06-07,40.83
2000-06-08,39.96
2000-06-09,40.23
2000-06-12,39.6
2000-06-13,41.64
2000-06-14,40.04
2000-06-15,40.61
2000-06-16,39.92
2000-06-19,43.22
2000-06-20,43.8
2000-06-21,44.01
2000-06-22,42.45
2000-06-23,42.55
2000-06-26,42.49
2000-06-27,41.6
2000-06-28,41.92
2000-06-29,41.72
2000-06-30,42.33
2000-07-03,43.34
2000-07-05,41.68
2000-07-06,43.26
2000-07-07,44.11
2000-07-10,43.64
2000-07-11,43.95
2000-07-12,44.71
2000-07-13,45.34
2000-07-14,46.45
2000-07-17,46.33
2000-07-18,45.28
2000-07-19,43.74
2000-07-20,45.18
2000-07-21,43.76
2000-07-24,43.7
2000-07-25,44.61
2000-07-26,44.01
2000-07-27,43.38
2000-07-28,40.89
2000-07-31,42.27
2000-08-01,40.93
2000-08-02,40.09
2000-08-03,41.22
2000-08-04,39.63
2000-08-07,39.87
2000-08-08,39.04
2000-08-09,40.27
2000-08-10,39.28
2000-08-11,40.42
2000-08-14,42.4
2000-08-15,43.0
2000-08-16,43.12
2000-08-17,44.38
2000-08-18,44.7
2000-08-21,45.65
2000-08-22,45.69
2000-08-23,47.27
2000-08-24,47.04
2000-08-25,46.2
2000-08-28,46.8
2000-08-29,46.92
2000-08-30,46.56
2000-08-31,47.43
2000-09-01,46.84
2000-09-05,43.87
2000-09-06,41.62
2000-09-07,42.72
2000-09-08,41.41
2000-09-11,40.98
2000-09-12,41.14
2000-09-13,38.8
2000-09-14,37.77
2000-09-15,36.44
2000-09-18,35.36
2000-09-19,38.25
2000-09-20,39.95
2000-09-21,38.95
2000-09-22,30.37
2000-09-25,28.74
2000-09-26,27.44
2000-09-27,27.79
2000-09-28,28.15
2000-09-29,26.33
2000-10-02,25.42
2000-10-03,25.54
2000-10-04,26.61
2000-10-05,25.97
2000-10-06,25.3
2000-10-09,24.75
2000-10-10,23.8
2000-10-11,22.41
2000-10-12,23.52
2000-10-13,25.58
2000-10-16,22.61
2000-10-17,22.92
2000-10-18,24.19
2000-10-19,26.57
2000-10-20,27.28
2000-10-23,27.44
2000-10-24,26.61
2000-10-25,26.17
2000-10-26,28.31
2000-10-27,29.38
2000-10-30,28.51
2000-10-31,28.51
2000-11-01,28.43
2000-11-02,29.58
2000-11-03,29.11
2000-11-06,29.51
2000-11-07,29.27
2000-11-08,27.05
2000-11-09,26.22
2000-11-10,23.45
2000-11-13,24.2
2000-11-14,25.94
2000-11-15,26.3
2000-11-16,25.35
2000-11-17,26.3
2000-11-20,26.06
2000-11-21,27.01
2000-11-22,26.1
2000-11-24,27.85
2000-11-27,27.85
2000-11-28,26.64
2000-11-29,27.09
2000-11-30,24.12
2000-12-01,21.63
2000-12-04,20.87
2000-12-05,22.82
2000-12-06,20.12
2000-12-07,20.48
2000-12-08,21.55
2000-12-11,23.73
2000-12-12,23.13
2000-12-13,22.5
2000-12-14,22.26
2000-12-15,20.56
2000-12-18,21.07
2000-12-19,21.19
2000-12-20,20.24
2000-12-21,20.99
2000-12-22,20.87
2000-12-26,20.83
2000-12-27,20.64
2000-12-28,19.61
2000-12-29,19.05
2001-01-02,19.69
2001-01-03,21.7
2001-01-04,21.42
2001-01-05,20.32
2001-01-08,20.24
2001-01-09,20.44
2001-01-10,20.91
2001-01-11,21.15
2001-01-12,20.36
2001-01-16,19.88
2001-01-17,19.33
2001-01-18,20.4
2001-01-19,21.27
2001-01-22,21.15
2001-01-23,22.42
2001-01-24,22.97
2001-01-25,21.86
2001-01-26,22.74
2001-01-29,23.49
2001-01-30,23.45
2001-01-31,23.45
2001-02-01,23.96
2001-02-02,22.62
2001-02-05,22.0
2001-02-06,22.47
2001-02-07,22.15
2001-02-08,21.96
2001-02-09,21.24
2001-02-12,21.92
2001-02-13,20.57
2001-02-14,21.64
2001-02-15,22.71
2001-02-16,21.8
2001-02-20,19.93
2001-02-21,19.5
2001-02-22,19.02
2001-02-23,18.98
2001-02-26,18.71
2001-02-27,18.39
2001-02-28,18.11
2001-03-01,18.47
2001-03-02,18.59
2001-03-05,19.26
2001-03-06,19.97
2001-03-07,20.89
2001-03-08,21.08
2001-03-09,18.67
2001-03-12,17.6
2001-03-13,18.63
2001-03-14,18.43
2001-03-15,18.07
2001-03-16,17.68
2001-03-19,17.16
2001-03-20,15.62
2001-03-21,16.21
2001-03-22,18.19
2001-03-23,18.27
2001-03-26,17.95
2001-03-27,18.63
2001-03-28,17.08
2001-03-29,16.84
2001-03-30,16.69
2001-04-02,16.36
2001-04-03,15.85
2001-04-04,14.35
2001-04-05,16.25
2001-04-06,14.98
2001-04-09,14.71
2001-04-10,15.71
2001-04-11,17.45
2001-04-12,17.83
2001-04-16,16.68
2001-04-17,16.51
2001-04-18,19.84
2001-04-19,20.6
2001-04-20,20.56
2001-04-23,19.23
2001-04-24,18.48
2001-04-25,18.41
2001-04-26,18.16
2001-04-27,19.14
2001-04-30,19.6
2001-05-01,19.77
2001-05-02,20.25
2001-05-03,19.29
2001-05-04,19.59
2001-05-07,19.77
2001-05-08,19.97
2001-05-09,18.99
2001-05-10,18.41
2001-05-11,17.73
2001-05-14,17.39
2001-05-15,17.26
2001-05-16,17.99
2001-05-17,18.15
2001-05-18,18.25
2001-05-21,18.97
2001-05-22,18.74
2001-05-23,18.27
2001-05-24,18.53
2001-05-25,18.46
2001-05-29,17.67
2001-05-30,16.88
2001-05-31,17.14
2001-06-01,18.24
2001-06-04,18.08
2001-06-05,18.86
2001-06-06,18.92
2001-06-07,19.76
2001-06-08,19.46
2001-06-11,19.24
2001-06-12,19.12
2001-06-13,18.44
2001-06-14,17.52
2001-06-15,17.56
2001-06-18,17.48
2001-06-19,16.92
2001-06-20,17.44
2001-06-21,17.3
2001-06-22,17.46
2001-06-25,18.13
2001-06-26,18.38
2001-06-27,18.18
2001-06-28,18.81
2001-06-29,18.56
2001-07-02,19.07
2001-07-03,19.33
2001-07-05,18.93
2001-07-06,18.04
2001-07-09,18.34
2001-07-10,17.63
2001-07-11,17.8
2001-07-12,19.1
2001-07-13,19.16
2001-07-16,18.48
2001-07-17,18.97
2001-07-18,18.33
2001-07-19,19.01
2001-07-20,18.99
2001-07-23,18.4
2001-07-24,18.32
2001-07-25,18.67
2001-07-26,18.9
2001-07-27,18.54
2001-07-30,18.43
2001-07-31,18.91
2001-08-01,19.51
2001-08-02,20.37
2001-08-03,20.11
2001-08-06,19.22
2001-08-07,19.44
2001-08-08,18.8
2001-08-09,18.82
2001-08-10,19.02
2001-08-13,19.4
2001-08-14,19.27
2001-08-15,18.91
2001-08-16,19.15
2001-08-17,17.82
2001-08-20,17.9
2001-08-21,17.19
2001-08-22,17.75
2001-08-23,17.57
2001-08-24,18.46
2001-08-27,18.51
2001-08-28,18.1
2001-08-29,17.84
2001-08-30,17.22
2001-08-31,17.75
2001-09-04,17.05
2001-09-05,17.44
2001-09-06,16.57
2001-09-07,16.44
2001-09-10,16.55
2001-09-17,14.98
2001-09-18,14.9
2001-09-19,14.15
2001-09-20,13.12
2001-09-21,12.25
2001-09-24,13.53
2001-09-25,13.76
2001-09-26,13.27
2001-09-27,13.05
2001-09-28,12.98
2001-10-01,12.7
2001-10-02,12.41
2001-10-03,13.48
2001-10-04,13.68
2001-10-05,13.94
2001-10-08,14.12
2001-10-09,13.62
2001-10-10,14.64
2001-10-11,15.56
2001-10-12,15.89
2001-10-15,15.48
