Date,Close
2000-06-05,28.69
2000-06-06,27.83
2000-06-07,27.78
2000-06-08,27.65
2000-06-09,26.5
2000-06-12,26.34
2000-06-13,26.12
2000-06-14,27.14
2000-06-15,26.46
2000-06-16,24.63
2000-06-19,25.41
2000-06-20,25.99
2000-06-21,25.48
2000-06-22,25.14
2000-06-23,25.41
2000-06-26,25.78
2000-06-27,25.99
2000-06-28,25.5
2000-06-29,25.82
2000-06-30,24.97
2000-07-03,25.96
2000-07-05,26.07
2000-07-06,26.2
2000-07-07,27.33
2000-07-10,27.16
2000-07-11,27.67
2000-07-12,27.6
2000-07-13,27.7
2000-07-14,28.66
2000-07-17,28.4
2000-07-18,27.81
2000-07-19,27.67
2000-07-20,28.01
2000-07-21,28.79
2000-07-24,28.15
2000-07-25,27.98
2000-07-26,26.95
2000-07-27,27.23
2000-07-28,26.41
2000-07-31,27.19
2000-08-01,28.18
2000-08-02,28.08
2000-08-03,27.43
2000-08-04,28.63
2000-08-07,29.24
2000-08-08,29.21
2000-08-09,28.56
2000-08-10,28.32
2000-08-11,28.39
2000-08-14,28.8
2000-08-15,28.28
2000-08-16,27.5
2000-08-17,27.67
2000-08-18,27.7
2000-08-21,27.81
2000-08-22,28.8
2000-08-23,29.65
2000-08-24,29.07
2000-08-25,28.42
2000-08-28,28.76
2000-08-29,28.32
2000-08-30,29.07
2000-08-31,30.5
2000-09-01,30.74
2000-09-05,31.18
2000-09-06,30.57
2000-09-07,31.25
2000-09-08,31.56
2000-09-11,31.39
2000-09-12,28.83
2000-09-13,27.67
2000-09-14,27.3
2000-09-15,26.82
2000-09-18,25.42
2000-09-19,25.59
2000-09-20,25.38
2000-09-21,24.36
2000-09-22,25.79
2000-09-25,25.66
2000-09-26,25.15
2000-09-27,24.84
2000-09-28,25.59
2000-09-29,25.21
2000-10-02,25.93
2000-10-03,25.52
2000-10-04,25.04
2000-10-05,24.43
2000-10-06,23.57
2000-10-09,23.12
2000-10-10,22.43
2000-10-11,22.36
2000-10-12,20.78
2000-10-13,21.81
2000-10-16,21.75
2000-10-17,20.85
2000-10-18,20.27
2000-10-19,21.4
2000-10-20,21.09
2000-10-23,21.09
2000-10-24,22.02
2000-10-25,21.99
2000-10-26,21.99
2000-10-27,23.46
2000-10-30,24.05
2000-10-31,25.01
2000-11-01,25.11
2000-11-02,25.01
2000-11-03,24.43
2000-11-06,25.01
2000-11-07,24.7
2000-11-08,23.94
2000-11-09,24.25
2000-11-10,23.53
2000-11-13,23.15
2000-11-14,23.4
2000-11-15,22.4
2000-11-16,22.47
2000-11-17,21.78
2000-11-20,21.2
2000-11-21,21.27
2000-11-22,20.58
2000-11-24,21.51
2000-11-27,21.64
2000-11-28,20.89
2000-11-29,20.85
2000-11-30,20.27
2000-12-01,20.51
2000-12-04,20.85
2000-12-05,22.71
2000-12-06,22.02
2000-12-07,21.54
2000-12-08,21.99
2000-12-11,23.36
2000-12-12,23.64
2000-12-13,24.46
2000-12-14,23.57
2000-12-15,24.15
2000-12-18,24.94
2000-12-19,24.63
2000-12-20,23.91
2000-12-21,24.84
2000-12-22,25.08
2000-12-26,25.15
2000-12-27,25.49
2000-12-28,25.8
2000-12-29,24.98
2001-01-02,24.19
2001-01-03,28.03
2001-01-04,28.79
2001-01-05,27.1
2001-01-08,27.27
2001-01-09,26.96
2001-01-10,28.2
2001-01-11,29.97
2001-01-12,29.52
2001-01-16,29.45
2001-01-17,29.35
2001-01-18,28.48
2001-01-19,28.0
2001-01-22,28.17
2001-01-23,28.62
2001-01-24,29.48
2001-01-25,29.38
2001-01-26,30.0
2001-01-29,30.52
2001-01-30,31.0
2001-01-31,30.45
2001-02-01,30.92
2001-02-02,30.25
2001-02-05,30.23
2001-02-06,28.95
2001-02-07,28.97
2001-02-08,28.61
2001-02-09,28.76
2001-02-12,29.1
2001-02-13,28.32
2001-02-14,28.34
2001-02-15,28.3
2001-02-16,28.79
2001-02-20,27.66
2001-02-21,26.22
2001-02-22,26.74
2001-02-23,26.05
2001-02-26,26.88
2001-02-27,26.36
2001-02-28,25.84
2001-03-01,25.53
2001-03-02,25.36
2001-03-05,25.89
2001-03-06,26.56
2001-03-07,27.82
2001-03-08,27.82
2001-03-09,27.1
2001-03-12,25.19
2001-03-13,26.24
2001-03-14,24.22
2001-03-15,25.06
2001-03-16,24.68
2001-03-19,25.0
2001-03-20,23.58
2001-03-21,22.26
2001-03-22,21.54
2001-03-23,23.09
2001-03-26,23.32
2001-03-27,24.01
2001-03-28,23.56
2001-03-29,23.81
2001-03-30,24.86
2001-04-02,24.69
2001-04-03,23.03
2001-04-04,22.6
2001-04-05,23.73
2001-04-06,22.55
2001-04-09,22.56
2001-04-10,24.17
2001-04-11,24.98
2001-04-12,25.33
2001-04-16,25.4
2001-04-17,25.33
2001-04-18,27.41
2001-04-19,27.24
2001-04-20,26.68
2001-04-23,26.41
2001-04-24,26.46
2001-04-25,26.51
2001-04-26,27.08
2001-04-27,27.83
2001-04-30,26.79
2001-05-01,27.2
2001-05-02,27.67
2001-05-03,27.35
2001-05-04,28.25
2001-05-07,27.47
2001-05-08,26.66
2001-05-09,26.38
2001-05-10,26.52
