Date,Close
2000-06-05,15.9
2000-06-06,16.26
2000-06-07,16.64
2000-06-08,16.86
2000-06-09,17.27
2000-06-12,16.8
2000-06-13,17.22
2000-06-14,17.94
2000-06-15,17.47
2000-06-16,16.95
2000-06-19,17.04
2000-06-20,16.93
2000-06-21,17.27
2000-06-22,17.63
2000-06-23,17.42
2000-06-26,17.0
2000-06-27,16.71
2000-06-28,16.12
2000-06-29,16.35
2000-06-30,15.79
2000-07-03,16.71
2000-07-05,16.42
2000-07-06,15.74
2000-07-07,16.12
2000-07-10,16.17
2000-07-11,16.01
2000-07-12,16.21
2000-07-13,16.51
2000-07-14,16.37
2000-07-17,15.62
2000-07-18,15.7
2000-07-19,15.74
2000-07-20,15.56
2000-07-21,15.52
2000-07-24,15.58
2000-07-25,15.88
2000-07-26,15.56
2000-07-27,15.45
2000-07-28,15.33
2000-07-31,15.36
2000-08-01,15.76
2000-08-02,15.99
2000-08-03,15.88
2000-08-04,15.85
2000-08-07,16.01
2000-08-08,15.33
2000-08-09,15.04
2000-08-10,15.27
2000-08-11,15.36
2000-08-14,15.11
2000-08-15,15.15
2000-08-16,14.91
2000-08-17,14.25
2000-08-18,14.18
2000-08-21,14.46
2000-08-22,14.3
2000-08-23,14.5
2000-08-24,14.61
2000-08-25,14.86
2000-08-28,15.2
2000-08-29,15.27
2000-08-30,15.2
2000-08-31,15.07
2000-09-01,15.49
2000-09-05,15.58
2000-09-06,15.47
2000-09-07,15.42
2000-09-08,16.26
2000-09-11,16.57
2000-09-12,16.46
2000-09-13,16.37
2000-09-14,16.19
2000-09-15,15.97
2000-09-18,16.15
2000-09-19,16.42
2000-09-20,16.03
2000-09-21,16.85
2000-09-22,17.3
2000-09-25,17.5
2000-09-26,17.43
2000-09-27,17.12
2000-09-28,17.93
2000-09-29,18.0
2000-10-02,18.06
2000-10-03,18.02
2000-10-04,18.67
2000-10-05,19.42
2000-10-06,19.33
2000-10-09,19.01
2000-10-10,18.47
2000-10-11,17.81
2000-10-12,18.08
2000-10-13,18.17
2000-10-16,18.4
2000-10-17,19.01
2000-10-18,19.1
2000-10-19,18.88
2000-10-20,18.4
2000-10-23,19.63
2000-10-24,19.53
2000-10-25,19.87
2000-10-26,19.74
2000-10-27,20.42
2000-10-30,21.08
2000-10-31,20.92
2000-11-01,20.33
2000-11-02,20.31
2000-11-03,20.74
2000-11-06,20.51
