Date,Close
2000-06-05,21.94
2000-06-06,19.63
2000-06-07,20.36
2000-06-08,20.38
2000-06-09,19.19
2000-06-12,18.59
2000-06-13,19.32
2000-06-14,19.78
2000-06-15,20.49
2000-06-16,19.95
2000-06-19,19.51
2000-06-20,18.76
2000-06-21,17.89
2000-06-22,18.29
2000-06-23,18.44
2000-06-26,18.91
2000-06-27,19.04
2000-06-28,18.65
2000-06-29,18.93
2000-06-30,19.78
2000-07-03,19.72
2000-07-05,19.68
2000-07-06,19.25
2000-07-07,20.08
2000-07-10,20.87
2000-07-11,21.49
2000-07-12,21.43
2000-07-13,21.19
2000-07-14,21.19
2000-07-17,20.78
2000-07-18,20.23
2000-07-19,20.15
2000-07-20,20.81
2000-07-21,20.42
2000-07-24,20.0
2000-07-25,20.55
2000-07-26,21.32
2000-07-27,21.28
2000-07-28,20.76
2000-07-31,19.78
2000-08-01,19.78
2000-08-02,20.81
2000-08-03,20.51
2000-08-04,20.25
2000-08-07,21.23
2000-08-08,21.75
2000-08-09,21.15
2000-08-10,20.3
2000-08-11,20.21
2000-08-14,20.42
2000-08-15,18.42
2000-08-16,18.03
2000-08-17,17.82
2000-08-18,18.12
2000-08-21,17.94
2000-08-22,18.8
2000-08-23,18.41
2000-08-24,18.59
2000-08-25,18.59
2000-08-28,18.24
2000-08-29,18.07
2000-08-30,17.82
2000-08-31,15.85
2000-09-01,16.83
2000-09-05,17.09
2000-09-06,17.13
2000-09-07,16.96
2000-09-08,17.0
2000-09-11,18.03
2000-09-12,18.33
2000-09-13,18.12
2000-09-14,19.14
2000-09-15,18.5
2000-09-18,17.94
2000-09-19,17.56
2000-09-20,17.6
2000-09-21,17.43
2000-09-22,18.07
2000-09-25,17.69
2000-09-26,17.06
2000-09-27,16.96
2000-09-28,17.26
2000-09-29,17.52
2000-10-02,17.09
2000-10-03,17.18
2000-10-04,17.43
2000-10-05,17.73
2000-10-06,16.66
2000-10-09,16.75
2000-10-10,16.45
2000-10-11,15.98
2000-10-12,15.55
2000-10-13,16.45
2000-10-16,16.66
2000-10-17,16.19
2000-10-18,16.41
2000-10-19,17.73
2000-10-20,17.18
2000-10-23,16.92
2000-10-24,16.96
2000-10-25,16.58
2000-10-26,16.58
2000-10-27,16.71
2000-10-30,17.43
2000-10-31,18.88
2000-11-01,18.84
2000-11-02,19.4
2000-11-03,18.8
2000-11-06,18.84
2000-11-07,19.4
2000-11-08,20.59
2000-11-09,18.71
2000-11-10,17.73
2000-11-13,17.9
2000-11-14,19.27
2000-11-15,19.74
2000-11-16,19.82
2000-11-17,20.12
2000-11-20,19.65
2000-11-21,19.78
2000-11-22,19.95
2000-11-24,19.48
2000-11-27,19.86
2000-11-28,19.86
2000-11-29,20.63
2000-11-30,20.59
2000-12-01,21.53
2000-12-04,22.52
2000-12-05,21.57
2000-12-06,22.43
2000-12-07,22.99
2000-12-08,23.07
2000-12-11,22.82
2000-12-12,22.3
2000-12-13,22.09
2000-12-14,21.4
2000-12-15,21.4
2000-12-18,21.7
2000-12-19,19.69
2000-12-20,19.31
2000-12-21,20.55
2000-12-22,21.02
2000-12-26,20.98
2000-12-27,22.09
2000-12-28,21.92
2000-12-29,22.09
2001-01-02,22.77
2001-01-03,24.83
2001-01-04,25.3
2001-01-05,23.76
2001-01-08,23.54
2001-01-09,23.63
2001-01-10,23.59
2001-01-11,22.9
2001-01-12,23.84
2001-01-16,24.57
2001-01-17,24.53
2001-01-18,23.67
2001-01-19,22.43
2001-01-22,23.67
2001-01-23,24.66
