Date,Close
2000-06-05,40.49
2000-06-06,39.77
2000-06-07,39.51
2000-06-08,38.83
2000-06-09,36.87
2000-06-12,36.01
2000-06-13,37.55
2000-06-14,37.68
2000-06-15,37.93
2000-06-16,36.82
2000-06-19,37.16
2000-06-20,37.25
2000-06-21,36.87
2000-06-22,35.88
2000-06-23,36.74
2000-06-26,36.74
2000-06-27,38.83
2000-06-28,38.26
2000-06-29,36.99
2000-06-30,39.39
2000-07-03,38.87
2000-07-05,38.96
2000-07-06,39.3
2000-07-07,42.08
2000-07-10,41.86
2000-07-11,42.38
2000-07-12,41.69
2000-07-13,40.41
2000-07-14,40.67
2000-07-17,41.5
2000-07-18,41.05
2000-07-19,41.01
2000-07-20,41.01
2000-07-21,40.8
2000-07-24,39.26
2000-07-25,40.45
2000-07-26,40.15
2000-07-27,41.05
2000-07-28,40.11
2000-07-31,37.76
2000-08-01,37.25
2000-08-02,36.95
2000-08-03,36.82
2000-08-04,36.18
2000-08-07,37.68
2000-08-08,39.39
2000-08-09,36.65
2000-08-10,34.86
2000-08-11,35.63
2000-08-14,36.14
2000-08-15,35.24
2000-08-16,34.13
2000-08-17,34.17
2000-08-18,34.77
2000-08-21,33.49
2000-08-22,33.58
2000-08-23,33.58
2000-08-24,33.79
2000-08-25,34.52
2000-08-28,33.83
2000-08-29,33.79
2000-08-30,33.11
2000-08-31,32.55
2000-09-01,33.32
2000-09-05,34.0
2000-09-06,34.17
2000-09-07,34.86
2000-09-08,35.63
2000-09-11,37.16
2000-09-12,36.91
2000-09-13,36.86
2000-09-14,35.92
2000-09-15,35.58
2000-09-18,34.98
2000-09-19,34.13
2000-09-20,33.19
2000-09-21,34.21
2000-09-22,34.55
2000-09-25,33.53
2000-09-26,32.42
2000-09-27,32.93
2000-09-28,33.23
2000-09-29,32.93
2000-10-02,31.65
2000-10-03,31.35
2000-10-04,31.56
2000-10-05,31.52
2000-10-06,31.13
2000-10-09,30.88
2000-10-10,31.73
2000-10-11,31.0
2000-10-12,30.19
2000-10-13,30.79
2000-10-16,32.37
2000-10-17,31.47
2000-10-18,31.99
2000-10-19,32.72
2000-10-20,31.86
2000-10-23,32.37
2000-10-24,33.1
2000-10-25,31.43
2000-10-26,29.72
2000-10-27,29.59
2000-10-30,29.94
2000-10-31,31.05
2000-11-01,31.95
2000-11-02,33.14
2000-11-03,32.42
2000-11-06,33.53
2000-11-07,33.48
2000-11-08,33.36
2000-11-09,32.24
2000-11-10,29.89
2000-11-13,31.0
2000-11-14,32.07
2000-11-15,33.53
2000-11-16,33.01
2000-11-17,33.23
2000-11-20,32.76
2000-11-21,32.24
2000-11-22,31.39
2000-11-24,30.92
2000-11-27,33.74
2000-11-28,33.53
2000-11-29,35.49
2000-11-30,35.71
2000-12-01,35.02
2000-12-04,36.82
2000-12-05,37.8
2000-12-06,37.5
2000-12-07,37.63
2000-12-08,37.25
2000-12-11,35.15
2000-12-12,35.49
2000-12-13,34.43
2000-12-14,34.94
2000-12-15,34.13
2000-12-18,34.6
2000-12-19,32.84
2000-12-20,33.53
2000-12-21,35.45
2000-12-22,35.97
2000-12-26,34.68
2000-12-27,36.01
2000-12-28,36.27
2000-12-29,36.4
2001-01-02,36.91
2001-01-03,40.04
2001-01-04,38.49
2001-01-05,36.95
2001-01-08,36.95
2001-01-09,36.14
2001-01-10,35.41
2001-01-11,35.58
2001-01-12,36.27
2001-01-16,37.47
2001-01-17,36.95
2001-01-18,36.35
2001-01-19,34.81
2001-01-22,36.01
2001-01-23,36.57
2001-01-24,36.65
2001-01-25,37.0
2001-01-26,36.74
2001-01-29,37.13
2001-01-30,36.84
2001-01-31,38.91
2001-02-01,38.16
2001-02-02,37.52
2001-02-05,36.89
2001-02-06,36.45
2001-02-07,37.45
2001-02-08,35.83
2001-02-09,34.53
2001-02-12,36.62
2001-02-13,37.06
2001-02-14,36.31
2001-02-15,35.62
2001-02-16,35.87
2001-02-20,36.58
2001-02-21,34.4
2001-02-22,34.05
2001-02-23,34.45
2001-02-26,34.99
2001-02-27,34.93
2001-02-28,34.32
2001-03-01,33.12
2001-03-02,33.51
2001-03-05,33.14
2001-03-06,33.95
2001-03-07,34.73
2001-03-08,35.39
2001-03-09,34.79
2001-03-12,33.1
2001-03-13,33.43
2001-03-14,32.34
2001-03-15,32.78
2001-03-16,32.15
2001-03-19,32.46
2001-03-20,32.8
2001-03-21,33.15
2001-03-22,32.18
2001-03-23,32.64
2001-03-26,34.03
2001-03-27,34.5
2001-03-28,34.07
2001-03-29,34.73
2001-03-30,34.65
2001-04-02,34.74
2001-04-03,33.75
2001-04-04,34.22
2001-04-05,34.68
2001-04-06,35.16
2001-04-09,34.51
2001-04-10,34.88
2001-04-11,34.46
2001-04-12,34.1
2001-04-16,33.65
2001-04-17,33.78
2001-04-18,36.18
2001-04-19,36.02
2001-04-20,35.48
2001-04-23,35.7
2001-04-24,34.37
2001-04-25,34.76
2001-04-26,35.16
2001-04-27,36.25
2001-04-30,35.5
2001-05-01,36.71
2001-05-02,36.42
2001-05-03,36.43
2001-05-04,36.38
2001-05-07,35.71
2001-05-08,35.66
2001-05-09,35.4
2001-05-10,36.65
2001-05-11,37.12
2001-05-14,37.29
2001-05-15,35.68
2001-05-16,35.44
2001-05-17,35.51
2001-05-18,35.7
2001-05-21,36.5
2001-05-22,36.72
2001-05-23,36.03
2001-05-24,36.29
2001-05-25,35.13
2001-05-29,35.14
2001-05-30,35.31
2001-05-31,35.51
2001-06-01,35.48
2001-06-04,34.98
2001-06-05,35.2
2001-06-06,34.82
2001-06-07,35.06
2001-06-08,35.0
2001-06-11,34.46
2001-06-12,34.7
2001-06-13,34.41
2001-06-14,33.96
2001-06-15,33.04
2001-06-18,33.29
2001-06-19,33.52
2001-06-20,34.22
2001-06-21,34.66
2001-06-22,34.34
2001-06-25,33.67
2001-06-26,33.74
2001-06-27,33.32
2001-06-28,33.92
2001-06-29,33.53
2001-07-02,34.18
2001-07-03,33.82
2001-07-05,33.39
2001-07-06,32.53
2001-07-09,33.15
2001-07-10,32.64
2001-07-11,33.56
2001-07-12,35.63
2001-07-13,36.35
2001-07-16,36.75
2001-07-17,36.66
2001-07-18,37.09
2001-07-19,37.26
2001-07-20,37.29
2001-07-23,36.44
2001-07-24,36.48
2001-07-25,37.86
2001-07-26,38.13
2001-07-27,38.07
2001-07-30,38.39
2001-07-31,38.41
