Date,Close
2000-06-05,21.91
2000-06-06,22.74
2000-06-07,22.41
2000-06-08,22.12
2000-06-09,21.87
2000-06-12,22.31
2000-06-13,22.43
2000-06-14,22.82
2000-06-15,22.77
2000-06-16,23.31
2000-06-19,23.22
2000-06-20,23.0
2000-06-21,23.19
2000-06-22,22.84
2000-06-23,22.96
2000-06-26,23.03
2000-06-27,22.67
2000-06-28,22.69
2000-06-29,22.43
2000-06-30,21.68
2000-07-03,21.97
2000-07-05,21.25
2000-07-06,21.6
2000-07-07,21.69
2000-07-10,21.58
2000-07-11,22.25
2000-07-12,21.72
2000-07-13,21.55
2000-07-14,21.43
2000-07-17,21.75
2000-07-18,21.6
2000-07-19,21.74
2000-07-20,21.58
2000-07-21,21.31
2000-07-24,21.34
2000-07-25,20.82
2000-07-26,21.05
2000-07-27,22.24
2000-07-28,22.1
2000-07-31,22.15
2000-08-01,22.1
2000-08-02,22.89
2000-08-03,22.5
2000-08-04,22.57
2000-08-07,22.35
2000-08-08,22.32
2000-08-09,22.39
2000-08-10,22.5
2000-08-11,22.6
2000-08-14,22.93
2000-08-15,22.58
2000-08-16,22.99
2000-08-17,23.28
2000-08-18,23.03
2000-08-21,23.19
2000-08-22,23.09
2000-08-23,23.47
2000-08-24,23.04
2000-08-25,23.04
2000-08-28,23.0
2000-08-29,22.92
2000-08-30,22.6
2000-08-31,22.68
2000-09-01,22.91
2000-09-05,23.16
2000-09-06,23.05
2000-09-07,23.26
2000-09-08,23.19
2000-09-11,23.6
2000-09-12,23.82
2000-09-13,23.83
2000-09-14,23.68
2000-09-15,24.44
2000-09-18,24.9
2000-09-19,24.44
2000-09-20,24.03
2000-09-21,23.97
2000-09-22,24.03
2000-09-25,23.85
2000-09-26,24.06
2000-09-27,24.79
2000-09-28,24.76
2000-09-29,24.75
2000-10-02,25.4
2000-10-03,25.22
2000-10-04,24.79
2000-10-05,24.77
2000-10-06,24.84
2000-10-09,25.31
2000-10-10,25.92
2000-10-11,26.04
2000-10-12,26.14
2000-10-13,25.14
2000-10-16,24.39
2000-10-17,24.39
2000-10-18,24.04
2000-10-19,24.03
2000-10-20,24.56
2000-10-23,24.74
2000-10-24,24.09
2000-10-25,24.22
2000-10-26,24.37
2000-10-27,24.32
2000-10-30,24.84
2000-10-31,24.77
2000-11-01,25.57
2000-11-02,24.49
2000-11-03,24.3
2000-11-06,24.63
2000-11-07,24.72
2000-11-08,25.19
2000-11-09,25.08
2000-11-10,25.0
2000-11-13,25.1
2000-11-14,25.08
2000-11-15,25.22
2000-11-16,25.31
2000-11-17,25.21
2000-11-20,25.5
2000-11-21,25.99
2000-11-22,26.31
2000-11-24,26.36
2000-11-27,25.99
2000-11-28,25.97
2000-11-29,24.82
2000-11-30,24.56
2000-12-01,24.79
2000-12-04,25.31
2000-12-05,24.67
2000-12-06,24.07
2000-12-07,24.56
2000-12-08,24.7
2000-12-11,23.93
2000-12-12,24.16
2000-12-13,24.47
2000-12-14,23.86
2000-12-15,23.48
2000-12-18,24.11
2000-12-19,24.33
2000-12-20,23.78
2000-12-21,23.65
2000-12-22,24.23
2000-12-26,24.72
2000-12-27,24.49
2000-12-28,24.25
2000-12-29,24.26
2001-01-02,24.88
2001-01-03,23.79
2001-01-04,23.13
2001-01-05,23.24
2001-01-08,23.13
2001-01-09,22.89
2001-01-10,22.61
2001-01-11,22.82
2001-01-12,23.11
2001-01-16,22.83
2001-01-17,22.4
2001-01-18,22.08
2001-01-19,22.17
2001-01-22,22.4
2001-01-23,22.83
2001-01-24,22.78
2001-01-25,23.03
2001-01-26,22.61
2001-01-29,22.38
2001-01-30,22.88
2001-01-31,23.49
2001-02-01,23.3
2001-02-02,23.16
2001-02-05,23.67
2001-02-06,23.54
2001-02-07,23.67
2001-02-08,23.96
2001-02-09,24.34
2001-02-12,24.32
2001-02-13,24.04
2001-02-14,23.8
2001-02-15,23.39
2001-02-16,23.82
2001-02-20,23.76
2001-02-21,23.68
2001-02-22,23.88
2001-02-23,23.67
2001-02-26,23.76
2001-02-27,23.33
2001-02-28,22.98
2001-03-01,23.08
2001-03-02,23.59
2001-03-05,23.77
2001-03-06,23.7
2001-03-07,23.88
2001-03-08,24.34
2001-03-09,24.38
2001-03-12,23.75
2001-03-13,23.62
2001-03-14,23.43
2001-03-15,23.52
2001-03-16,23.16
2001-03-19,23.04
2001-03-20,22.87
2001-03-21,22.63
2001-03-22,22.03
2001-03-23,21.8
2001-03-26,22.19
2001-03-27,22.86
2001-03-28,22.3
2001-03-29,22.2
2001-03-30,22.97
2001-04-02,22.57
2001-04-03,22.09
2001-04-04,22.31
2001-04-05,22.95
2001-04-06,23.28
2001-04-09,23.39
2001-04-10,23.82
2001-04-11,23.23
2001-04-12,23.25
2001-04-16,23.97
2001-04-17,24.02
2001-04-18,24.14
2001-04-19,23.94
2001-04-20,24.15
2001-04-23,24.95
2001-04-24,24.81
2001-04-25,25.26
2001-04-26,25.19
2001-04-27,25.25
2001-04-30,25.12
2001-05-01,25.18
2001-05-02,24.52
2001-05-03,24.41
2001-05-04,24.82
2001-05-07,25.0
2001-05-08,25.16
2001-05-09,25.44
2001-05-10,25.1
2001-05-11,24.97
2001-05-14,25.38
2001-05-15,25.49
2001-05-16,25.5
2001-05-17,25.28
2001-05-18,25.7
2001-05-21,25.29
2001-05-22,25.3
2001-05-23,24.87
2001-05-24,25.05
2001-05-25,25.1
2001-05-29,25.02
2001-05-30,25.32
2001-05-31,25.29
2001-06-01,25.34
2001-06-04,25.88
2001-06-05,26.08
2001-06-06,25.47
2001-06-07,25.41
2001-06-08,25.47
2001-06-11,25.56
2001-06-12,25.68
2001-06-13,25.64
2001-06-14,25.32
2001-06-15,25.33
2001-06-18,25.22
2001-06-19,25.18
2001-06-20,25.0
2001-06-21,25.2
2001-06-22,25.34
2001-06-25,25.23
2001-06-26,25.24
2001-06-27,24.86
2001-06-28,24.74
2001-06-29,24.89
2001-07-02,24.99
2001-07-03,24.89
2001-07-05,24.79
2001-07-06,24.74
2001-07-09,24.71
2001-07-10,24.44
2001-07-11,24.21
2001-07-12,24.35
2001-07-13,24.5
2001-07-16,24.51
2001-07-17,24.31
2001-07-18,24.01
2001-07-19,24.55
2001-07-20,24.71
2001-07-23,24.22
2001-07-24,23.35
2001-07-25,24.01
2001-07-26,24.35
2001-07-27,24.35
2001-07-30,24.17
2001-07-31,23.8
2001-08-01,23.71
2001-08-02,23.78
2001-08-03,23.52
2001-08-06,23.28
2001-08-07,23.59
2001-08-08,23.51
2001-08-09,23.47
2001-08-10,23.7
2001-08-13,23.73
2001-08-14,23.59
2001-08-15,23.79
2001-08-16,23.67
2001-08-17,23.2
2001-08-20,23.36
2001-08-21,23.15
2001-08-22,23.33
2001-08-23,23.44
2001-08-24,23.9
2001-08-27,23.53
2001-08-28,23.22
2001-08-29,23.14
2001-08-30,23.01
2001-08-31,23.01
2001-09-04,23.36
2001-09-05,23.63
2001-09-06,23.44
2001-09-07,23.44
2001-09-10,23.64
2001-09-17,23.01
2001-09-18,22.63
2001-09-19,22.02
2001-09-20,21.22
2001-09-21,20.54
2001-09-24,20.55
2001-09-25,20.79
2001-09-26,20.64
2001-09-27,22.02
2001-09-28,22.58
2001-10-01,22.41
2001-10-02,22.92
2001-10-03,22.83
2001-10-04,23.26
2001-10-05,23.32
2001-10-08,23.47
2001-10-09,23.53
2001-10-10,24.23
2001-10-11,24.12
2001-10-12,24.24
2001-10-15,23.87
2001-10-16,23.93
2001-10-17,23.75
2001-10-18,23.16
2001-10-19,23.24
2001-10-22,23.57
2001-10-23,23.43
2001-10-24,22.85
2001-10-25,23.25
2001-10-26,23.53
2001-10-29,23.32
2001-10-30,22.62
2001-10-31,22.61
2001-11-01,23.21
2001-11-02,22.79
2001-11-05,22.58
2001-11-06,22.62
2001-11-07,22.53
2001-11-08,22.77
2001-11-09,23.21
2001-11-12,23.1
2001-11-13,23.35
2001-11-14,22.31
2001-11-15,21.44
2001-11-16,21.64
2001-11-19,21.34
2001-11-20,21.88
2001-11-21,21.84
2001-11-23,22.16
2001-11-26,21.78
2001-11-27,21.53
2001-11-28,21.39
2001-11-29,21.59
2001-11-30,21.56
2001-12-03,21.71
2001-12-04,22.09
2001-12-05,22.42
2001-12-06,21.52
2001-12-07,21.95
2001-12-10,21.65
2001-12-11,21.22
2001-12-12,21.57
2001-12-13,21.01
2001-12-14,21.25
2001-12-17,21.6
2001-12-18,21.65
2001-12-19,22.11
2001-12-20,22.08
2001-12-21,22.2
2001-12-24,22.48
2001-12-26,22.83
2001-12-27,22.94
2001-12-28,22.93
2001-12-31,22.66
2002-01-02,22.83
2002-01-03,22.87
2002-01-04,23.06
2002-01-07,22.86
2002-01-08,22.89
2002-01-09,22.62
2002-01-10,22.71
2002-01-11,22.2
2002-01-14,22.28
2002-01-15,22.66
2002-01-16,22.2
2002-01-17,22.28
2002-01-18,22.14
2002-01-22,21.92
2002-01-23,22.43
2002-01-24,22.37
2002-01-25,22.58
2002-01-28,22.46
2002-01-29,21.88
2002-01-30,22.31
2002-01-31,22.51
2002-02-01,22.48
2002-02-04,22.11
2002-02-05,22.1
2002-02-06,22.44
2002-02-07,22.21
2002-02-08,22.21
2002-02-11,22.33
2002-02-12,22.27
2002-02-13,22.41
2002-02-14,22.62
2002-02-15,22.56
2002-02-19,22.48
2002-02-20,22.61
2002-02-21,22.71
2002-02-22,23.62
2002-02-25,23.78
2002-02-26,23.62
2002-02-27,23.73
2002-02-28,23.95
2002-03-01,24.36
2002-03-04,24.74
2002-03-05,24.65
2002-03-06,25.06
2002-03-07,24.87
2002-03-08,24.89
2002-03-11,25.22
2002-03-12,25.52
2002-03-13,25.01
2002-03-14,25.08
2002-03-15,25.29
2002-03-18,25.37
2002-03-19,25.4
2002-03-20,25.25
2002-03-21,25.25
2002-03-22,25.21
2002-03-25,24.85
2002-03-26,25.37
2002-03-27,25.49
2002-03-28,25.42
2002-04-01,25.42
2002-04-02,25.74
2002-04-03,25.34
2002-04-04,25.02
2002-04-05,24.72
2002-04-08,25.08
2002-04-09,24.78
2002-04-10,25.04
2002-04-11,24.59
2002-04-12,23.95
2002-04-15,24.13
2002-04-16,24.52
2002-04-17,24.49
2002-04-18,24.62
2002-04-19,24.66
2002-04-22,24.27
2002-04-23,23.98
2002-04-24,23.37
2002-04-25,23.51
2002-04-26,23.2
2002-04-29,23.02
2002-04-30,23.3
2002-05-01,23.6
2002-05-02,23.66
2002-05-03,23.54
2002-05-06,22.76
2002-05-07,22.68
2002-05-08,23.2
2002-05-09,22.96
2002-05-10,22.73
2002-05-13,23.34
2002-05-14,23.67
2002-05-15,23.16
2002-05-16,23.49
2002-05-17,23.45
2002-05-20,23.09
2002-05-21,23.2
2002-05-22,23.58
